site_id,section_id,course_name,period,term_code,staff_id,grade_level
67_67399_5136973,2 DL-SI-T8,2nd Grade,1,YR,T4021790,2
67_67399_5136974,2JN-SI-08,2nd Grade,1,YR,T4021704,2
67_67399_5136974,2JN-SI-09,2nd Grade,1,YR,T4021751,2
67_67399_5136974,2JN-SI-19,2nd Grade,1,YR,T4021925,2
67_67399_5136975,2 KG-SI-15,2nd Grade,1,YR,T4022025,2
67_67399_5136975,2 KG-SI-18,2nd Grade,1,YR,T4022014,2
67_67399_5136975,2 KG-SI-20,2nd Grade,1,YR,T4021728,2
67_67399_5136976,2MS-SI-14,2nd Grade,1,YR,T4021963,2
67_67399_5136976,2MS-SI-15,2nd Grade,1,YR,T4021898,2
67_67399_5136977,2 RD-SI-14,2nd Grade,1,YR,T4021746,2
67_67399_5136977,2 RD-SI-18,2nd Grade,1,YR,T4022001,2
67_67399_5136977,2 RD-SI-25,2nd Grade,1,YR,T4022012,2
67_67399_5136972,TK-2 CC-SAI-02,Specialized.Acad.Instr.,1,YR,T4021892,2
67_67399_5136971,3 BC-SI-5,3rd Grade,1,YR,T4022040,3
67_67399_5136971,3 BC-SI-8,3rd Grade,1,YR,T4022045,3
67_67399_5136972,3 CC-SI-18,3rd Grade,1,YR,T4021697,3
67_67399_5136972,3 CC-SI-23,3rd Grade,1,YR,T4022017,3
67_67399_5136972,3 CC-SI-27,3rd Grade,1,YR,T4021738,3
67_67399_5136972,3 CC-SI-28,3rd Grade,1,YR,T4021949,3
67_67399_5136972,3 CC-SI-29,3rd Grade,1,YR,T4021846,3
67_67399_5136973,3 DL-SI-22,3rd Grade,1,YR,T4021678,3
67_67399_5136973,3 DL-SI-23,3rd Grade,1,YR,T4021917,3
67_67399_5136973,3 DL-SI-24,3rd Grade,1,YR,T4022032,3
67_67399_5136974,3JN-SI-03,3rd Grade,1,YR,T4021944,3
67_67399_5136974,3JN-SI-04,3rd Grade,1,YR,T4021706,3
67_67399_5136974,3JN-SI-05,3rd Grade,1,YR,T4021929,3
67_67399_5136974,3JN-SI-07,3rd Grade,1,YR,T4021941,3
67_67399_5136975,3 KG-SI-14,3rd Grade,1,YR,T4021815,3
67_67399_5136975,3 KG-SI-16,3rd Grade,1,YR,T4021670,3
67_67399_5136975,3 KG-SI-17,3rd Grade,1,YR,T4021905,3
67_67399_5136976,03MS-SI-13,3rd Grade,1,YR,T4021787,3
67_67399_5136976,3MS-SI-02,3rd Grade,1,YR,T4021676,3
67_67399_5136977,3 RD-SI-16,3rd Grade,1,YR,T4021937,3
67_67399_5136977,3 RD-SI-17,3rd Grade,1,YR,T4021710,3
67_67399_5136977,3 RD-SI-27,3rd Grade,1,YR,T4022024,3
67_67399_5136972,1-3 CC-SAI-33,Specialized.Acad.Instr.,1,YR,T4021834,3
67_67399_5136973,1-3 DL-SAI-52,Specialized.Acad.Instr.,1,YR,T4021948,3
67_67399_5136976,1-4-MS-SAI,Specialized.Acad.Instr.,1,YR,T4021921,3
67_67399_5136977,2-3 SAI RD,Specialized.Acad.Instr.,1,YR,T4021916,3
67_67399_5136971,4 BC-SI-16,4th Grade,1,YR,T4021682,4
67_67399_5136971,4 BC-SI-22,4th Grade,1,YR,T4021730,4
67_67399_5136972,4 CC-SI-14,4th Grade,1,YR,T4021690,4
67_67399_5136972,4 CC-SI-19,4th Grade,1,YR,T4021999,4
67_67399_5136972,4 CC-SI-20,4th Grade,1,YR,T4021978,4
67_67399_5136972,4 CC-SI-21,4th Grade,1,YR,T4021984,4
67_67399_5136973,4 DL-SI-32,4th Grade,1,YR,T4021945,4
67_67399_5136973,4 DL-SI-33,4th Grade,1,YR,T4021711,4
67_67399_5136973,4 DL-SI-34,4th Grade,1,YR,T4021733,4
67_67399_5136974,4JN-SI-16,4th Grade,1,YR,T4021831,4
67_67399_5136974,4JN-SI-17,4th Grade,1,YR,T4021833,4
67_67399_5136974,4JN-SI-18,4th Grade,1,YR,T4021776,4
67_67399_5136975,4 KG-SI-19,4th Grade,1,YR,T4021973,4
67_67399_5136975,4 KG-SI-21,4th Grade,1,YR,T4021922,4
67_67399_5136976,4MS-SI-05,4th Grade,1,YR,T4021918,4
67_67399_5136976,4MS-SI-06,4th Grade,1,YR,T4021741,4
67_67399_5136977,4 RD-SI-09,4th Grade,1,YR,T4021765,4
67_67399_5136977,4 RD-SI-10,4th Grade,1,YR,T4021817,4
67_67399_5136975,2-4 KG-SAI,Specialized.Acad.Instr.,1,YR,T4021736,4
67_67399_5136971,5-BC-SI-17,5th Grade,1,YR,T4022035,5
67_67399_5136971,5BC-SI-20,5th Grade,1,YR,T4021900,5
67_67399_5136972,5 CC-SI-11,5th Grade,1,YR,T4021829,5
67_67399_5136972,5 CC-SI-12,5th Grade,1,YR,T4021822,5
67_67399_5136972,5 CC-SI-13,5th Grade,1,YR,T4021882,5
67_67399_5136973,5 DL-SI-42,5th Grade,1,YR,T4021715,5
67_67399_5136973,5 DL-SI-43,5th Grade,1,YR,T4021774,5
67_67399_5136973,5 DL-SI-44,5th Grade,1,YR,T4021981,5
67_67399_5136974,5JN-SI-14,5th Grade,1,YR,T4022007,5
67_67399_5136974,5JN-SI-15,5th Grade,1,YR,T4021878,5
67_67399_5136974,5JN-SI-37,5th Grade,1,YR,T4021993,5
67_67399_5136975,5 KG-SI-26,5th Grade,1,YR,T4021943,5
67_67399_5136975,5 KG-SI-27,5th Grade,1,YR,T4021838,5
67_67399_5136976,5MS-SI-11,5th Grade,1,YR,T4021713,5
67_67399_5136976,5MS-SI-12,5th Grade,1,YR,T4021907,5
67_67399_5136977,4/5RD-SI11,4th/5th Grade,1,YR,T4021962,5
67_67399_5136977,5 RD-SI-6,5th Grade,1,YR,T4021824,5
67_67399_5136977,3-5 RD SDC ESN,Specialized.Acad.Instr.,1,YR,T4021938,5
67_67399_5136971,6 BC-SI-18,6th Grade,1,YR,T4021860,6
67_67399_5136971,6 BC-SI-19,6th Grade,1,YR,T4021835,6
67_67399_5136972,6 CC-SI-08,6th Grade,1,YR,T4021859,6
67_67399_5136972,6 CC-SI-09,6th Grade,1,YR,T4022009,6
67_67399_5136972,6 CC-SI-15,6th Grade,1,YR,T4022037,6
67_67399_5136973,6 DL-SI-54,6th Grade,1,YR,T4022011,6
67_67399_5136973,6 DL-SI-55,6th Grade,1,YR,T4021989,6
67_67399_5136973,6 DL-SI-56,6th Grade,1,YR,T4021734,6
67_67399_5136974,6JN-S1-23,6th Grade,1,YR,T4021823,6
67_67399_5136974,6JN-SI-20,6th Grade,1,YR,T4021976,6
67_67399_5136974,6JN-SI-21,6th Grade,1,YR,T4021889,6
67_67399_5136975,6 KG-SI-29,6th Grade,1,YR,T4022027,6
67_67399_5136975,6 KG-SI-31,6th Grade,1,YR,T4021797,6
67_67399_5136976,6MS-SI-09,6th Grade,1,YR,T4021998,6
67_67399_5136976,6MS-SI-10,6th Grade,1,YR,T4021913,6
67_67399_5136977,6 RD-SI-01,6th Grade,1,YR,T4021816,6
67_67399_5136977,6 RD-SI-02,6th Grade,1,YR,T4021934,6
67_67399_5136971,1-3 BC SAI,Specialized.Acad.Instr.,1,YR,T4021791,6
67_67399_5136971,4-6 BC-SAI,Specialized.Acad.Instr.,1,YR,T4021933,6
67_67399_5136972,K-3 CC-SAI-ESN-26,Specialized.Acad.Instr.,1,YR,T4021785,6
67_67399_5136973,4-6 DL-SAI-51,Specialized.Acad.Instr.,1,YR,T4021674,6
67_67399_5136974,4-6JN-SAI-13,Specialized.Acad.Instr.,1,YR,T4021915,6
67_67399_5136974,4-6JN-SAI-22,Specialized.Acad.Instr.,1,YR,T4021804,6
67_67399_5136975,5-6 KG-SAI,Specialized.Acad.Instr.,1,YR,T4021966,6
67_67399_5136976,3-6-MS-SAI,Specialized.Acad.Instr.,1,YR,T4021696,6
67_67399_5136976,4-6-MS-SAI,Specialized.Acad.Instr.,1,YR,T4021848,6
67_67399_5136976,K-1-MS-SAI,Specialized.Acad.Instr.,1,YR,T4021926,6
67_67399_5136976,T-K-MS-SAI,Specialized.Acad.Instr.,1,YR,T4021821,6
67_67399_5136977,4-6 RD SAI,Specialized.Acad.Instr.,1,YR,T4021716,6
67_67399_5136977,5-6 RD SDC ESN,Specialized.Acad.Instr.,1,YR,T4022010,6
67_67399_5136978,0495-06,WORLD HISTORY 7,1,YR,T4021885,7
67_67399_5136978,0495-07,WORLD HISTORY 7,2,YR,T4021885,7
67_67399_5136978,0495-08,WORLD HISTORY 7,3,YR,T4021885,7
67_67399_5136978,0495-09,WORLD HISTORY 7,5,YR,T4021885,7
67_67399_5136978,0495-10,WORLD HISTORY 7,6,YR,T4021885,7
67_67399_5136978,0496-01,WORLD HISTORY 7C,5,YR,T4021796,7
67_67399_5136978,0496-02,WORLD HISTORY 7C,1,YR,T4021796,7
67_67399_5136978,1422-01,LANGUAGE ARTS 7C,1,YR,T4021796,7
67_67399_5136978,1422-02,LANGUAGE ARTS 7C,2,YR,T4021796,7
67_67399_5136978,1422-03,LANGUAGE ARTS 7C,4,YR,T4021796,7
67_67399_5136978,1444-01,LANGUAGE ARTS 7,1,YR,T4021960,7
67_67399_5136978,1444-02,LANGUAGE ARTS 7,3,YR,T4021960,7
67_67399_5136978,1444-03,LANGUAGE ARTS 7,4,YR,T4021960,7
67_67399_5136978,1444-04,LANGUAGE ARTS 7,6,YR,T4021960,7
67_67399_5136978,1444-05,LANGUAGE ARTS 7,1,YR,T4021903,7
67_67399_5136978,1444-06,LANGUAGE ARTS 7,3,YR,T4021903,7
67_67399_5136978,1444-07,LANGUAGE ARTS 7,4,YR,T4021903,7
67_67399_5136978,1444-08,LANGUAGE ARTS 7,5,YR,T4021903,7
67_67399_5136978,1444-09,LANGUAGE ARTS 7,6,YR,T4021912,7
67_67399_5136978,2386-77,ACCELERATED 7TH GRADE,2,YR,T4021718,7
67_67399_5136978,6519-13,MATH 7 CORE,2,YR,T4021687,7
67_67399_5136978,6519-14,MATH 7 CORE,3,YR,T4021687,7
67_67399_5136978,6519-15,MATH 7 CORE,5,YR,T4021687,7
67_67399_5136978,6519-16,MATH 7 CORE,6,YR,T4021687,7
67_67399_5136978,C9104G7-01,LANGUAGE IN CONTENT 7,2,YR,T4022041,7
67_67399_5136978,C9104G7-02,LANGUAGE IN CONTENT 7,3,YR,T4022041,7
67_67399_5136978,C9104G7-03,LANGUAGE IN CONTENT 7,5,YR,T4021897,7
67_67399_5136978,C9104G7-04,LANGUAGE IN CONTENT 7,1,YR,T4022013,7
67_67399_5136978,C9104G7-05,LANGUAGE IN CONTENT 7,1,YR,T4022041,7
67_67399_5136978,C922209-71,STEM 7,4,YR,T4021893,7
67_67399_5136978,C922807-71,INTRO TO CAREERS 7 S1,1,1S,T4021695,7
67_67399_5136978,C922807-72,INTRO TO CAREERS 7 S1,5,1S,T4021695,7
67_67399_5136978,C922808-71,INTRO TO CAREERS 7 S2,1,2S,T4021695,7
67_67399_5136978,C922808-72,INTRO TO CAREERS 7 S2,5,2S,T4021695,7
67_67399_5136978,C929002-01,MUSIC 7,2,YR,T4021761,7
67_67399_5136978,C929002-02,MUSIC 7,6,YR,T4021761,7
67_67399_5136979,0495-01,WORLD HISTORY 7,1,YR,T4021727,7
67_67399_5136979,0495-02,WORLD HISTORY 7,2,YR,T4021727,7
67_67399_5136979,0495-03,WORLD HISTORY 7,4,YR,T4021727,7
67_67399_5136979,0495-04,WORLD HISTORY 7,5,YR,T4021727,7
67_67399_5136979,0495-05,WORLD HISTORY 7,6,YR,T4021727,7
67_67399_5136979,0495-06,WORLD HISTORY 7,1,YR,T4021965,7
67_67399_5136979,0495-07,WORLD HISTORY 7,2,YR,T4021965,7
67_67399_5136979,0495-08,WORLD HISTORY 7,4,YR,T4021965,7
67_67399_5136979,0495-09,WORLD HISTORY 7,5,YR,T4021965,7
67_67399_5136979,0495-10,WORLD HISTORY 7,6,YR,T4021965,7
67_67399_5136979,0496-01,WORLD HISTORY 7C,6,YR,T4021767,7
67_67399_5136979,1422-01,LANGUAGE ARTS 7C,2,YR,T4021737,7
67_67399_5136979,1422-02,LANGUAGE ARTS 7C,6,YR,T4021737,7
67_67399_5136979,1444-01,LANGUAGE ARTS 7,1,YR,T4021996,7
67_67399_5136979,1444-02,LANGUAGE ARTS 7,5,YR,T4021936,7
67_67399_5136979,1444-03,LANGUAGE ARTS 7,6,YR,T4021936,7
67_67399_5136979,1444-04,LANGUAGE ARTS 7,3,YR,T4021972,7
67_67399_5136979,1444-05,LANGUAGE ARTS 7,5,YR,T4021972,7
67_67399_5136979,1444-06,LANGUAGE ARTS 7,6,YR,T4021972,7
67_67399_5136979,1444-90,LANGUAGE ARTS 7,3,YR,T4021936,7
67_67399_5136979,1444-91,LANGUAGE ARTS 7,6,YR,T4021996,7
67_67399_5136979,1444-92,LANGUAGE ARTS 7,2,YR,T4021996,7
67_67399_5136979,2386-77,ACCELERATED 7TH GRADE,5,YR,T4021983,7
67_67399_5136979,3470-F7,SCIENCE 7,5,YR,T4021807,7
67_67399_5136979,5506 SE-92,AVID 7 Excel,3,YR,T4021996,7
67_67399_5136979,5507-90,AVID 7,2,YR,T4021936,7
67_67399_5136979,5507-91,AVID 7,5,YR,T4021996,7
67_67399_5136979,6520-77,MATH 7,4,YR,T4021983,7
67_67399_5136979,7772-78,PE COED 7,3,YR,T4021988,7
67_67399_5136979,C710001-07,FFA 7th,5,YR,T4021807,7
67_67399_5136979,C910002-07,LANGUAGE ARTS 7 ESN,1,YR,T4021744,7
67_67399_5136979,C9104G7-01,LANGUAGE IN CONTENT 7,2,YR,T4022003,7
67_67399_5136979,C9104G7-02,LANGUAGE IN CONTENT 7,5,YR,T4022003,7
67_67399_5136979,C9104G7-03,LANGUAGE IN CONTENT 7,4,YR,T4022003,7
67_67399_5136979,C9104G7-04,LANGUAGE IN CONTENT 7,1,YR,T4021911,7
67_67399_5136979,C9104G7C-1,LANGUAGE IN CONTENT 7C,1,YR,T4021737,7
67_67399_5136979,C9104G7C-2,LANGUAGE IN CONTENT 7C,5,YR,T4021737,7
67_67399_5136979,C917201-07,WORLD HISTORY 7 ESN,5,YR,T4021744,7
67_67399_5136979,C922807-71,INTRO TO CAREERS 7 S1,4,1S,T4021939,7
67_67399_5136979,C922807-72,INTRO TO CAREERS 7 S1,3,1S,T4021939,7
67_67399_5136979,C922808-71,INTRO TO CAREERS 7 S2,4,2S,T4021939,7
67_67399_5136979,C922808-72,INTRO TO CAREERS 7 S2,3,2S,T4021939,7
67_67399_5136979,C924001-07,MATH 7 ESN,2,YR,T4021744,7
67_67399_5136979,C932801-07,SCIENCE 7 ESN,4,YR,T4021744,7
67_67399_5136978,C9100NC-01,ENG LANG ARTS NC,2,YR,T4021903,7
67_67399_5136978,C9104C-01,LANGUAGE IN CONTENT C,1,YR,T4021756,7
67_67399_5136978,C9104NC-03,LANG IN CONTENT NC,4,YR,T4021687,7
67_67399_5136979,C9100NC-77,ENG LANG ARTS NC,2,YR,T4021972,7
67_67399_5136979,C9104NC-77,LANG IN CONTENT NC,1,YR,T4022003,7
67_67399_5136979,C923205-07,INDPT LIVING SKILLS,6,YR,T4021744,7
67_67399_5136979,c9233001-01,MESA,2,YR,T4021994,7
67_67399_5136978,1427-01,LANGUAGE ARTS 8C,1,YR,T4021899,8
67_67399_5136978,1427-02,LANGUAGE ARTS 8C,2,YR,T4021899,8
67_67399_5136978,1427-03,LANGUAGE ARTS 8C,3,YR,T4021899,8
67_67399_5136978,1427-04,LANGUAGE ARTS 8C,4,YR,T4021899,8
67_67399_5136978,1447-01,LANGUAGE ARTS 8,2,YR,T4021681,8
67_67399_5136978,1447-02,LANGUAGE ARTS 8,4,YR,T4021681,8
67_67399_5136978,1447-03,LANGUAGE ARTS 8,5,YR,T4021681,8
67_67399_5136978,1447-04,LANGUAGE ARTS 8,6,YR,T4021681,8
67_67399_5136978,1447-05,LANGUAGE ARTS 8,1,YR,T4021912,8
67_67399_5136978,1447-06,LANGUAGE ARTS 8,4,YR,T4021912,8
67_67399_5136978,1447-07,LANGUAGE ARTS 8,2,YR,T4022043,8
67_67399_5136978,1447-08,LANGUAGE ARTS 8,3,YR,T4022043,8
67_67399_5136978,1447-09,LANGUAGE ARTS 8,5,YR,T4022043,8
67_67399_5136978,1447-10,LANGUAGE ARTS 8,6,YR,T4022043,8
67_67399_5136978,4305-72,STEM 8,4,YR,T4021893,8
67_67399_5136978,4305-81,STEM 8,6,YR,T4021893,8
67_67399_5136978,C9104G8-01,LANGUAGE IN CONTENT 8,1,YR,T4021897,8
67_67399_5136978,C9104G8-02,LANGUAGE IN CONTENT 8,1,YR,T4022043,8
67_67399_5136978,C9104G8-03,LANGUAGE IN CONTENT 8,1,YR,T4022041,8
67_67399_5136978,C9104G8-04,LANGUAGE IN CONTENT 8,1,YR,T4022013,8
67_67399_5136978,C922803-81,INTRO TO CAREERS 8 S1,2,1S,T4021695,8
67_67399_5136978,C922803-82,INTRO TO CAREERS 8 S1,3,1S,T4021695,8
67_67399_5136978,C922803-83,INTRO TO CAREERS 8 S1,4,1S,T4021695,8
67_67399_5136978,C922804-81,INTRO TO CAREERS 8 S2,2,2S,T4021695,8
67_67399_5136978,C922804-82,INTRO TO CAREERS 8 S2,3,2S,T4021695,8
67_67399_5136978,C922804-83,INTRO TO CAREERS 8 S2,4,2S,T4021695,8
67_67399_5136978,C929003-01,MUSIC 8,3,YR,T4021761,8
67_67399_5136978,C929003-02,MUSIC 8,4,YR,T4021761,8
67_67399_5136979,1427-01,LANGUAGE ARTS 8C,1,YR,T4021789,8
67_67399_5136979,1427-02,LANGUAGE ARTS 8C,4,YR,T4021789,8
67_67399_5136979,1447-01,LANGUAGE ARTS 8,1,YR,T4021786,8
67_67399_5136979,1447-02,LANGUAGE ARTS 8,2,YR,T4021683,8
67_67399_5136979,1447-03,LANGUAGE ARTS 8,4,YR,T4021683,8
67_67399_5136979,1447-04,LANGUAGE ARTS 8,5,YR,T4021683,8
67_67399_5136979,1447-05,LANGUAGE ARTS 8,3,YR,T4021683,8
67_67399_5136979,1447-06,LANGUAGE ARTS 8,6,YR,T4021683,8
67_67399_5136979,1447-90,LANGUAGE ARTS 8,5,YR,T4021786,8
67_67399_5136979,1447-91,LANGUAGE ARTS 8,2,YR,T4021786,8
67_67399_5136979,1447-92,LANGUAGE ARTS 8,3,YR,T4021786,8
67_67399_5136979,3480-F8,SCIENCE 8,6,YR,T4021807,8
67_67399_5136979,5505 SE-91,AVID 8 Excel,4,YR,T4021786,8
67_67399_5136979,5508-90,AVID 8,6,YR,T4021994,8
67_67399_5136979,5508-92,AVID 8,1,YR,T4021972,8
67_67399_5136979,C710002-08,FFA 8th,6,YR,T4021807,8
67_67399_5136979,C910003-08,LANGUAGE ARTS 8 ESN,1,YR,T4021744,8
67_67399_5136979,C9104G8-01,LANGUAGE IN CONTENT 8,1,YR,T4021754,8
67_67399_5136979,C9104G8-02,LANGUAGE IN CONTENT 8,5,YR,T4021754,8
67_67399_5136979,C9104G8-03,LANGUAGE IN CONTENT 8,3,YR,T4021754,8
67_67399_5136979,C9104G8-04,LANGUAGE IN CONTENT 8,6,YR,T4021911,8
67_67399_5136979,C9104G8C-01,LANGUAGE IN CONTENT 8C,5,YR,T4021789,8
67_67399_5136979,C9104G8C-2,LANGUAGE IN CONTENT 8C,2,YR,T4021789,8
67_67399_5136979,C917301-08,US HISTORY 8 ESN,5,YR,T4021744,8
67_67399_5136979,C922803-04,INTRO TO CAREERS 8 S1,4,1S,T4021781,8
67_67399_5136979,C922803-05,INTRO TO CAREERS 8 S1,5,1S,T4021781,8
67_67399_5136979,C922804-04,INTRO TO CAREERS 8 S2,4,2S,T4021781,8
67_67399_5136979,C922804-05,INTRO TO CAREERS 8 S2,5,2S,T4021781,8
67_67399_5136979,C924002-08,MATH 8 ESN,2,YR,T4021744,8
67_67399_5136979,C932901-08,SCIENCE 8 ESN,4,YR,T4021744,8
67_67399_5136978,C9104C-02,LANGUAGE IN CONTENT C,4,YR,T4021756,8
67_67399_5136978,C9233001-1,MESA,2,YR,T4021752,8
67_67399_5136978,c929001-01,MUSIC 7/8,1,YR,T4021761,8
67_67399_5136979,7350-78,MARCHING BAND,1,YR,T4021686,8
67_67399_5136979,C9100NC-88,ENG LANG ARTS NC,4,YR,T4021754,8
67_67399_5136979,C9104NC-88,LANG IN CONTENT NC,2,YR,T4021754,8
67_67399_5136979,C923205-08,INDPT LIVING SKILLS,6,YR,T4021744,8
67_67399_5136980,0061-50,ALGEBRA IA,1,1S,T4021820,9
67_67399_5136980,0061-51,ALGEBRA IA,2,1S,T4021820,9
67_67399_5136980,0061-52,ALGEBRA IA,5,1S,T4021820,9
67_67399_5136980,0061-53,ALGEBRA IA,6,1S,T4021820,9
67_67399_5136980,0061-54,ALGEBRA IA,7,1S,T4021820,9
67_67399_5136980,0062-50,ALGEBRA IB,1,2S,T4021820,9
67_67399_5136980,0062-51,ALGEBRA IB,2,2S,T4021820,9
67_67399_5136980,0062-52,ALGEBRA IB,5,2S,T4021820,9
67_67399_5136980,0062-53,ALGEBRA IB,6,2S,T4021820,9
67_67399_5136980,0062-54,ALGEBRA IB,7,2S,T4021820,9
67_67399_5136980,0915-50,ART I,1,1S,T4021792,9
67_67399_5136980,0915-51,ART I,2,1S,T4021792,9
67_67399_5136980,0915-52,ART I,3,1S,T4021792,9
67_67399_5136980,0915-53,ART I,5,1S,T4021792,9
67_67399_5136980,0915-54,ART I,6,1S,T4021792,9
67_67399_5136980,0915-55,ART I,7,1S,T4021792,9
67_67399_5136980,0915-56,ART I,1,2S,T4021792,9
67_67399_5136980,0915-57,ART I,2,2S,T4021792,9
67_67399_5136980,0915-58,ART I,3,2S,T4021792,9
67_67399_5136980,0915-59,ART I,5,2S,T4021792,9
67_67399_5136980,0915-60,ART I,6,2S,T4021792,9
67_67399_5136980,0915-61,ART I,7,2S,T4021792,9
67_67399_5136980,1224-50,HON ENGLISH LIT 1S,3,1S,T4021680,9
67_67399_5136980,1224-51,HON ENGLISH LIT 1S,5,1S,T4022008,9
67_67399_5136980,1224-52,HON ENGLISH LIT 1S,7,1S,T4022008,9
67_67399_5136980,1226-50,HON ENGLISH LIT 2S,3,2S,T4021680,9
67_67399_5136980,1226-51,HON ENGLISH LIT 2S,5,2S,T4022008,9
67_67399_5136980,1226-52,HON ENGLISH LIT 2S,7,2S,T4022008,9
67_67399_5136980,1276-50,HON ENGLISH 9 1S,5,1S,T4021680,9
67_67399_5136980,1276-51,HON ENGLISH 9 1S,6,1S,T4021680,9
67_67399_5136980,1276-52,HON ENGLISH 9 1S,7,1S,T4021680,9
67_67399_5136980,1276-53,HON ENGLISH 9 1S,1,1S,T4022008,9
67_67399_5136980,1276-54,HON ENGLISH 9 1S,2,1S,T4022008,9
67_67399_5136980,1276-55,HON ENGLISH 9 1S,3,1S,T4022008,9
67_67399_5136980,1276-56,HON ENGLISH 9 1S,4,1S,T4022034,9
67_67399_5136980,1280-50,HON ENGLISH 9 2S,5,2S,T4021680,9
67_67399_5136980,1280-51,HON ENGLISH 9 2S,6,2S,T4021680,9
67_67399_5136980,1280-52,HON ENGLISH 9 2S,7,2S,T4021680,9
67_67399_5136980,1280-53,HON ENGLISH 9 2S,1,2S,T4022008,9
67_67399_5136980,1280-54,HON ENGLISH 9 2S,2,2S,T4022008,9
67_67399_5136980,1280-55,HON ENGLISH 9 2S,3,2S,T4022008,9
67_67399_5136980,1280-56,HON ENGLISH 9 2S,4,2S,T4022034,9
67_67399_5136980,2075-50,ALGEBRA I 1S,2,1S,T4021814,9
67_67399_5136980,2075-51,ALGEBRA I 1S,3,1S,T4021814,9
67_67399_5136980,2075-52,ALGEBRA I 1S,1,1S,T4021745,9
67_67399_5136980,2075-53,ALGEBRA I 1S,2,1S,T4021745,9
67_67399_5136980,2075-54,ALGEBRA I 1S,4,1S,T4021979,9
67_67399_5136980,2075-55,ALGEBRA I 1S,6,1S,T4021745,9
67_67399_5136980,2075-56,ALGEBRA I 1S,7,1S,T4021745,9
67_67399_5136980,2075-57,ALGEBRA I 1S,1,1S,T4021794,9
67_67399_5136980,2075-58,ALGEBRA I 1S,4,1S,T4021794,9
67_67399_5136980,2075-59,ALGEBRA I 1S,6,1S,T4021794,9
67_67399_5136980,2075-60,ALGEBRA I 1S,3,1S,T4021979,9
67_67399_5136980,2075-61,ALGEBRA I 1S,6,1S,T4021979,9
67_67399_5136980,2075-62,ALGEBRA I 1S,7,1S,T4021979,9
67_67399_5136980,2075-63,ALGEBRA I 1S,1,1S,T4021863,9
67_67399_5136980,2075-64,ALGEBRA I 1S,2,1S,T4021863,9
67_67399_5136980,2075-65,ALGEBRA I 1S,3,1S,T4021863,9
67_67399_5136980,2075-66,ALGEBRA I 1S,4,1S,T4021863,9
67_67399_5136980,2075-67,ALGEBRA I 1S,7,1S,T4021863,9
67_67399_5136980,2076-50,ALGEBRA I 2S,2,2S,T4021814,9
67_67399_5136980,2076-51,ALGEBRA I 2S,3,2S,T4021814,9
67_67399_5136980,2076-52,ALGEBRA I 2S,1,2S,T4021745,9
67_67399_5136980,2076-53,ALGEBRA I 2S,2,2S,T4021745,9
67_67399_5136980,2076-54,ALGEBRA I 2S,4,2S,T4021979,9
67_67399_5136980,2076-55,ALGEBRA I 2S,6,2S,T4021745,9
67_67399_5136980,2076-56,ALGEBRA I 2S,7,2S,T4021745,9
67_67399_5136980,2076-57,ALGEBRA I 2S,1,2S,T4021794,9
