site_id,course_name,section_id,course_id,college_dept,deptartment,credits,max_students,grade_level
67_67399_5136974,Kindergarten,KJN-SI-02,G0K,,Elementary Department Code,0,24,KN
67_67399_5136974,Kindergarten,KJN-SI-03,G0K,,Elementary Department Code,0,24,KN
67_67399_5136974,Kindergarten,KJN-SI-05,G0K,,Elementary Department Code,0,24,KN
67_67399_5136974,Kindergarten,KJN-SI-40,G0K,,Elementary Department Code,0,24,KN
67_67399_5136974,Specialized.Acad.Instr.,TK-1JN-SAI-1,SAI,,General,0,20,
67_67399_5136974,Transitional Kinder,TKJN-SI-06,TK,,Elementary Department Code,0,24,TK
67_67399_5136974,Transitional Kinder,TKJN-SI-10,TK,,Elementary Department Code,0,24,TK
67_67399_5136975,Kindergarten,0K KG-SI-A,G0K,,Elementary Department Code,0,24,KN
67_67399_5136975,Kindergarten,0K KG-SI-B,G0K,,Elementary Department Code,0,24,KN
67_67399_5136975,1st Grade,1 KG-SI-03,G01,,Elementary Department Code,0,24,1
67_67399_5136975,1st Grade,1 KG-SI-05,G01,,Elementary Department Code,0,24,1
67_67399_5136975,2nd Grade,2 KG-SI-15,G02,,Elementary Department Code,0,24,2
67_67399_5136975,2nd Grade,2 KG-SI-18,G02,,Elementary Department Code,0,24,2
67_67399_5136975,2nd Grade,2 KG-SI-20,G02,,Elementary Department Code,0,24,2
67_67399_5136975,Specialized.Acad.Instr.,2-4 KG-SAI,SAI,,General,0,24,
67_67399_5136975,3rd Grade,3 KG-SI-14,G03,,Elementary Department Code,0,24,3
67_67399_5136975,3rd Grade,3 KG-SI-16,G03,,Elementary Department Code,0,24,3
67_67399_5136975,3rd Grade,3 KG-SI-17,G03,,Elementary Department Code,0,24,3
67_67399_5136975,4th Grade,4 KG-SI-19,G04,,Elementary Department Code,0,33,4
67_67399_5136975,4th Grade,4 KG-SI-21,G04,,Elementary Department Code,0,33,4
67_67399_5136975,5th Grade,5 KG-SI-26,G05,,Elementary Department Code,0,33,5
67_67399_5136975,5th Grade,5 KG-SI-27,G05,,Elementary Department Code,0,33,5
67_67399_5136975,Specialized.Acad.Instr.,5-6 KG-SAI,SAI,,General,0,20,
67_67399_5136975,6th Grade,6 KG-SI-29,G06,,Elementary Department Code,0,33,6
67_67399_5136975,6th Grade,6 KG-SI-31,G06,,Elementary Department Code,0,33,6
67_67399_5136975,Transitional Kinder,T KG-SI-D,TK,,Elementary Department Code,0,24,TK
67_67399_5136975,Specialized.Acad.Instr.,TK-1 KG-SAI,SAI,,General,0,20,
67_67399_5136976,3rd Grade,03MS-SI-13,G03,,Elementary Department Code,0,24,3
67_67399_5136976,Specialized.Acad.Instr.,1-3-MS-SAI,SAI,,General,0,15,
67_67399_5136976,Specialized.Acad.Instr.,1-4-MS-SAI,SAI,,General,0,15,
67_67399_5136976,1st Grade,1MS-SI-16,G01,,Elementary Department Code,0,24,1
67_67399_5136976,1st Grade,1MS-SI-17,G01,,Elementary Department Code,0,24,1
67_67399_5136976,Specialized.Acad.Instr.,2-4-MS-SAI,SAI,,General,0,15,
67_67399_5136976,2nd Grade,2MS-SI-14,G02,,Elementary Department Code,0,24,2
67_67399_5136976,2nd Grade,2MS-SI-15,G02,,Elementary Department Code,0,24,2
67_67399_5136976,Specialized.Acad.Instr.,3-6-MS-SAI,SAI,,General,0,5,
67_67399_5136976,3rd Grade,3MS-SI-02,G03,,Elementary Department Code,0,24,3
67_67399_5136976,Specialized.Acad.Instr.,4-6-MS-SAI,SAI,,General,0,15,
67_67399_5136976,4th/5th Grade,4/5MS-SI06,G045,,Elementary Department Code,0,33,5
67_67399_5136976,4th Grade,4MS-SI-05,G04,,Elementary Department Code,0,33,4
67_67399_5136976,4th Grade,4MS-SI-06,G04,,Elementary Department Code,0,33,4
67_67399_5136976,5th Grade,5MS-SI-11,G05,,Elementary Department Code,0,33,5
67_67399_5136976,5th Grade,5MS-SI-12,G05,,Elementary Department Code,0,33,5
67_67399_5136976,6th Grade,6MS-SI-09,G06,,Elementary Department Code,0,33,6
67_67399_5136976,6th Grade,6MS-SI-10,G06,,Elementary Department Code,0,33,6
67_67399_5136976,Specialized.Acad.Instr.,K-1-MS-SAI,SAI,,General,0,15,
67_67399_5136976,Kindergarten,K-MS-SI-20,G0K,,Elementary Department Code,0,24,KN
67_67399_5136976,Kindergarten,K-MS-SI-A,G0K,,Elementary Department Code,0,24,KN
67_67399_5136976,Specialized.Acad.Instr.,T-K-MS-SAI,SAI,,General,0,15,
67_67399_5136976,Transitional Kinder,T-MS-SI-19,TK,,Elementary Department Code,0,24,TK
67_67399_5136977,1st Grade,1 RD-SI-20,G01,,Elementary Department Code,0,24,1
67_67399_5136977,1st Grade,1 RD-SI-21,G01,,Elementary Department Code,0,24,1
67_67399_5136977,1st Grade,1 RD-SI-22,G01,,Elementary Department Code,0,24,1
67_67399_5136977,1st Grade,1 RD-SI-23,G01,,Elementary Department Code,0,24,1
67_67399_5136977,2nd Grade,2 RD-SI-13,G02,,Elementary Department Code,0,24,2
67_67399_5136977,2nd Grade,2 RD-SI-14,G02,,Elementary Department Code,0,24,2
67_67399_5136977,2nd Grade,2 RD-SI-15,G02,,Elementary Department Code,0,24,2
67_67399_5136977,2nd Grade,2 RD-SI-18,G02,,Elementary Department Code,0,24,2
67_67399_5136977,2nd Grade,2 RD-SI-25,G02,,Elementary Department Code,0,24,2
67_67399_5136977,Specialized.Acad.Instr.,2-3 SAI RD,SAI,,General,0,14,
67_67399_5136977,3rd Grade,3 RD-SI-16,G03,,Elementary Department Code,0,24,3
67_67399_5136977,3rd Grade,3 RD-SI-17,G03,,Elementary Department Code,0,24,3
67_67399_5136977,3rd Grade,3 RD-SI-18,G03,,Elementary Department Code,0,24,3
67_67399_5136977,3rd Grade,3 RD-SI-27,G03,,Elementary Department Code,0,24,3
67_67399_5136977,Specialized.Acad.Instr.,3-5 RD SDC ESN,SAI,,General,0,24,
67_67399_5136977,4th Grade,4 RD-SI-09,G04,,Elementary Department Code,0,33,4
67_67399_5136977,4th Grade,4 RD-SI-10,G04,,Elementary Department Code,0,33,4
67_67399_5136977,Specialized.Acad.Instr.,4-6 RD ESN,SAI,,General,0,25,
67_67399_5136977,Specialized.Acad.Instr.,4-6 RD SAI,SAI,,General,0,25,
67_67399_5136977,4th/5th Grade,4/5RD-SI11,G045,,Elementary Department Code,0,33,5
67_67399_5136977,5th Grade,5 RD-SI-05,G05,,Elementary Department Code,0,33,5
67_67399_5136977,5th Grade,5 RD-SI-6,G05,,Elementary Department Code,0,33,5
67_67399_5136977,Specialized.Acad.Instr.,5-6 RD SDC ESN,SAI,,General,0,25,
67_67399_5136977,6th Grade,6 RD-SI-01,G06,,Elementary Department Code,0,34,6
67_67399_5136977,6th Grade,6 RD-SI-02,G06,,Elementary Department Code,0,33,6
67_67399_5136977,6th Grade,6 RD-SI-07,G06,,Elementary Department Code,0,33,6
67_67399_5136977,Kindergarten,K RD-SI-K1,G0K,,Elementary Department Code,0,24,KN
67_67399_5136977,Kindergarten,K RD-SI-K4,G0K,,Elementary Department Code,0,24,KN
67_67399_5136977,Kindergarten,K RD-SI-K5,G0K,,Elementary Department Code,0,24,KN
67_67399_5136977,Specialized.Acad.Instr.,TK-1RD SAI,SAI,,General,0,24,
67_67399_5136977,Transitional Kinder,TKRD-SI-K2,TK,,Elementary Department Code,0,24,TK
67_67399_5136978,ALGEBRA I 1S,63920,2075,Mathematics,Mathematics,5,34,
67_67399_5136978,ALGEBRA I 2S,64285,2076,Mathematics,Mathematics,5,34,
67_67399_5136978,LIT/WRITING 8,77799,2113,,English,10,34,8
67_67399_5136978,ASB LEADERSHIP,298405,2717,,General,10,34,
67_67399_5136978,SCIENCE 7,573433,3470,,Life Science,10,34,7
67_67399_5136978,SCIENCE 7,573464,3470,,Life Science,10,34,7
67_67399_5136978,SCIENCE 7,573492,3470,,Life Science,10,34,7
67_67399_5136978,SCIENCE 7,573523,3470,,Life Science,10,34,7
67_67399_5136978,SCIENCE 7,573553,3470,,Life Science,10,34,7
67_67399_5136978,SCIENCE 7,573584,3470,,Life Science,10,34,7
67_67399_5136978,SCIENCE 7,573614,3470,,Life Science,10,34,7
67_67399_5136978,SCIENCE 7,573645,3470,,Life Science,10,34,7
67_67399_5136978,SCIENCE 7,573676,3470,,Life Science,10,34,7
67_67399_5136978,SCIENCE 7,573706,3470,,Life Science,10,34,7
67_67399_5136978,SCIENCE 7C,575259,3475,,Life Science,10,20,7
67_67399_5136978,SCIENCE 7C,575290,3475,,Life Science,10,20,7
67_67399_5136978,SCIENCE 8,577085,3480,,Physical Science,10,34,8
67_67399_5136978,SCIENCE 8,577116,3480,,Physical Science,10,34,8
67_67399_5136978,SCIENCE 8,577145,3480,,Physical Science,10,34,8
67_67399_5136978,SCIENCE 8,577176,3480,,Physical Science,10,34,8
67_67399_5136978,SCIENCE 8,577206,3480,,Physical Science,10,34,8
67_67399_5136978,SCIENCE 8,577237,3480,,Physical Science,10,34,8
67_67399_5136978,SCIENCE 8,577267,3480,,Physical Science,10,34,8
67_67399_5136978,SCIENCE 8,577298,3480,,Physical Science,10,34,8
67_67399_5136978,SCIENCE 8,577329,3480,,Physical Science,10,34,8
67_67399_5136978,SCIENCE 8,577359,3480,,Physical Science,10,34,8
67_67399_5136978,Science 8 C,577451,3481,,Physical Science,10,34,8
67_67399_5136978,Science 8 C,577482,3481,,Physical Science,10,34,8
67_67399_5136978,SPANISH II 1S,774682,4021,Foreign Language,Foreign Language,5,34,
67_67399_5136978,SPANISH II 2S,886080,4326,Foreign Language,Foreign Language,5,34,
67_67399_5136978,US HISTORY 8,962051,4534,,Social Science,10,34,8
67_67399_5136978,US HISTORY 8,962082,4534,,Social Science,10,34,8
67_67399_5136978,US HISTORY 8,962110,4534,,Social Science,10,34,8
67_67399_5136978,US HISTORY 8,962141,4534,,Social Science,10,34,8
67_67399_5136978,US HISTORY 8,962171,4534,,Social Science,10,34,8
67_67399_5136978,US HISTORY 8,962202,4534,,Social Science,10,34,8
67_67399_5136978,US HISTORY 8,962232,4534,,Social Science,10,34,8
67_67399_5136978,US HISTORY 8,962263,4534,,Social Science,10,34,8
67_67399_5136978,US HISTORY 8,962294,4534,,Social Science,10,34,8
67_67399_5136978,US HISTORY 8,962324,4534,,Social Science,10,34,8
67_67399_5136978,US HISTORY 8C,962416,4535,,Social Science,10,34,8
67_67399_5136978,US HISTORY 8C,962447,4535,,Social Science,10,34,8
67_67399_5136978,MATH 8 CORE,1202746,5193,,Mathematics,10,34,8
67_67399_5136978,MATH 8 CORE,1202777,5193,,Mathematics,10,34,8
67_67399_5136978,MATH 8 CORE,1202805,5193,,Mathematics,10,34,8
67_67399_5136978,MATH 8 CORE,1202836,5193,,Mathematics,10,34,8
67_67399_5136978,MATH 8 CORE,1202866,5193,,Mathematics,10,34,8
67_67399_5136978,MATH 8 CORE,1202897,5193,,Mathematics,10,34,8
67_67399_5136978,MATH 8 CORE,1202927,5193,,Mathematics,10,34,8
67_67399_5136978,MATH 8 CORE,1202958,5193,,Mathematics,10,34,8
67_67399_5136978,MATH 8 CORE,1202989,5193,,Mathematics,10,34,8
67_67399_5136978,MATH 8 CORE,1203019,5193,,Mathematics,10,34,8
67_67399_5136978,MATH 8C,1203841,5196,,Mathematics,10,34,8
67_67399_5136978,MATH 8C,1203872,5196,,Mathematics,10,34,8
67_67399_5136978,MATH 8C,1203901,5196,,Mathematics,10,20,8
67_67399_5136978,MATH 8C,1203932,5196,,Mathematics,10,20,8
67_67399_5136978,AVID 8 Excel,1316701,5505,,General,10,34,8
67_67399_5136978,AVID 7 Excel,1317066,5506,,General,10,34,7
67_67399_5136978,AVID 7,1317431,5507,,General,10,34,7
67_67399_5136978,AVID 7,1317462,5507,,General,10,34,7
67_67399_5136978,AVID 8,1317796,5508,,General,10,34,8
67_67399_5136978,AVID 8,1317827,5508,,General,10,34,8
67_67399_5136978,MATH 7 CORE,1687057,6519,,Mathematics,10,34,7
67_67399_5136978,MATH 7 CORE,1687088,6519,,Mathematics,10,34,7
67_67399_5136978,MATH 7 CORE,1687116,6519,,Mathematics,10,0,7
67_67399_5136978,MATH 7 CORE,1687147,6519,,Mathematics,10,34,7
67_67399_5136978,MATH 7 CORE,1687177,6519,,Mathematics,10,34,7
67_67399_5136978,MATH 7 CORE,1687208,6519,,Mathematics,10,34,7
67_67399_5136978,MATH 7 CORE,1687238,6519,,Mathematics,10,34,7
67_67399_5136978,MATH 7 CORE,1687269,6519,,Mathematics,10,34,7
67_67399_5136978,MATH 7 CORE,1687300,6519,,Mathematics,10,34,7
67_67399_5136978,MATH 7 CORE,1687330,6519,,Mathematics,10,34,7
67_67399_5136978,MATH 7 CORE,1687391,6519,,Mathematics,10,0,7
67_67399_5136978,MATH 7C,1687788,6521,,Mathematics,10,34,7
67_67399_5136978,MATH 7C,1687819,6521,,Mathematics,10,34,7
67_67399_5136978,MATH 7C,1687847,6521,,Mathematics,10,20,7
67_67399_5136978,PE COED 7,2144706,7772,,Physical Education,10,40,7
67_67399_5136978,PE COED 7,2144737,7772,,Physical Education,10,40,7
67_67399_5136978,PE COED 7,2144766,7772,,Physical Education,10,40,7
67_67399_5136978,PE COED 7,2144797,7772,,Physical Education,10,40,7
67_67399_5136978,PE COED 7,2144827,7772,,Physical Education,10,40,7
67_67399_5136978,PE COED 7,2144858,7772,,Physical Education,10,40,7
67_67399_5136978,PE COED 7,2144888,7772,,Physical Education,10,40,7
67_67399_5136978,PE COED 7,2144919,7772,,Physical Education,10,40,7
67_67399_5136978,PE COED 7,2144950,7772,,Physical Education,10,40,7
67_67399_5136978,PE COED 7,2144980,7772,,Physical Education,10,40,7
67_67399_5136978,PE COED 8,2145072,7773,,Physical Education,5,40,8
67_67399_5136978,PE COED 8,2145103,7773,,Physical Education,5,40,8
67_67399_5136978,PE COED 8,2145131,7773,,Physical Education,5,40,8
67_67399_5136978,PE COED 8,2145162,7773,,Physical Education,5,40,8
67_67399_5136978,PE COED 8,2145192,7773,,Physical Education,5,40,8
67_67399_5136978,PE COED 8,2145223,7773,,Physical Education,5,40,8
67_67399_5136978,PE COED 8,2145253,7773,,Physical Education,5,40,8
67_67399_5136978,PE COED 8,2145284,7773,,Physical Education,5,40,8
67_67399_5136978,PE COED 8,2145315,7773,,Physical Education,5,40,8
67_67399_5136978,PE COED 8,2145345,7773,,Physical Education,5,40,8
67_67399_5136978,WORLD HISTORY 7,0495-01,495,,Social Science,10,34,7
67_67399_5136978,WORLD HISTORY 7,0495-02,495,,Social Science,10,34,7
67_67399_5136978,WORLD HISTORY 7,0495-03,495,,Social Science,10,34,7
67_67399_5136978,WORLD HISTORY 7,0495-04,495,,Social Science,10,34,7
67_67399_5136978,WORLD HISTORY 7,0495-05,495,,Social Science,10,34,7
67_67399_5136978,WORLD HISTORY 7,0495-06,495,,Social Science,10,34,7
67_67399_5136978,WORLD HISTORY 7,0495-07,495,,Social Science,10,34,7
67_67399_5136978,WORLD HISTORY 7,0495-08,495,,Social Science,10,34,7
67_67399_5136978,WORLD HISTORY 7,0495-09,495,,Social Science,10,34,7
67_67399_5136978,WORLD HISTORY 7,0495-10,495,,Social Science,10,34,7
67_67399_5136978,WORLD HISTORY 7C,0496-01,496,,Social Science,10,34,7
67_67399_5136978,WORLD HISTORY 7C,0496-02,496,,Social Science,10,20,7
67_67399_5136978,LANGUAGE ARTS 7C,1422-01,1422,,English,10,34,7
67_67399_5136978,LANGUAGE ARTS 7C,1422-02,1422,,English,10,34,7
67_67399_5136978,LANGUAGE ARTS 7C,1422-03,1422,,English,10,20,7
67_67399_5136978,LANGUAGE ARTS 8C,1427-01,1427,,English,10,34,8
67_67399_5136978,LANGUAGE ARTS 8C,1427-02,1427,,English,10,34,8
67_67399_5136978,LANGUAGE ARTS 8C,1427-03,1427,,English,10,20,8
67_67399_5136978,LANGUAGE ARTS 8C,1427-04,1427,,English,10,20,8
67_67399_5136978,LANGUAGE ARTS 7,1444-01,1444,,English,10,34,7
67_67399_5136978,LANGUAGE ARTS 7,1444-02,1444,,English,10,34,7
67_67399_5136978,LANGUAGE ARTS 7,1444-03,1444,,English,10,34,7
67_67399_5136978,LANGUAGE ARTS 7,1444-04,1444,,English,10,34,7
67_67399_5136978,LANGUAGE ARTS 7,1444-05,1444,,English,10,34,7
67_67399_5136978,LANGUAGE ARTS 7,1444-06,1444,,English,10,34,7
67_67399_5136978,LANGUAGE ARTS 7,1444-07,1444,,English,10,34,7
67_67399_5136978,LANGUAGE ARTS 7,1444-08,1444,,English,10,34,7
67_67399_5136978,LANGUAGE ARTS 7,1444-09,1444,,English,10,34,7
67_67399_5136978,LANGUAGE ARTS 8,1447-01,1447,,English,10,34,8
67_67399_5136978,LANGUAGE ARTS 8,1447-02,1447,,English,10,34,8
67_67399_5136978,LANGUAGE ARTS 8,1447-03,1447,,English,10,34,8
67_67399_5136978,LANGUAGE ARTS 8,1447-04,1447,,English,10,34,8
67_67399_5136978,LANGUAGE ARTS 8,1447-05,1447,,English,10,34,8
67_67399_5136978,LANGUAGE ARTS 8,1447-06,1447,,English,10,34,8
67_67399_5136978,LANGUAGE ARTS 8,1447-07,1447,,English,10,34,8
67_67399_5136978,LANGUAGE ARTS 8,1447-08,1447,,English,10,34,8
67_67399_5136978,LANGUAGE ARTS 8,1447-09,1447,,English,10,34,8
67_67399_5136978,LANGUAGE ARTS 8,1447-10,1447,,English,10,34,8
67_67399_5136978,ACCELERATED 7TH GRADE,2386-77,2386,,Mathematics,10,34,7
67_67399_5136978,ACCELERATED 7TH GRADE,2386-78,2386,,Mathematics,10,34,7
67_67399_5136978,STEM 8,4305-72,4305,,Mathematics,10,0,8
67_67399_5136978,STEM 8,4305-81,4305,,Mathematics,10,34,8
67_67399_5136978,STEM 8,4305-82,4305,,Mathematics,10,34,8
67_67399_5136978,MATH 7 CORE,6519-13,6519,,Mathematics,10,34,7
67_67399_5136978,MATH 7 CORE,6519-14,6519,,Mathematics,10,34,7
67_67399_5136978,MATH 7 CORE,6519-15,6519,,Mathematics,10,34,7
67_67399_5136978,MATH 7 CORE,6519-16,6519,,Mathematics,10,34,7
67_67399_5136978,ENG LANG ARTS NC,C9100NC-01,C9100NC,,English,10,20,
